X,Y,OBJECTID,Main_Categ,Sub_Catego,Company_Na,Address,City,State,ZIP_Code,County,SNAP_Acc
-76.5233380003453,39.2587509997065,1,Convenience Store,Discount,Family Dollar 4363,1 Shipping Pl,Dundalk,MD,21222,Baltimore,Yes
-77.4691090001023,39.4227519996803,2,Supermarket, ,Megamart Supermarket,1 West Drive,Frederick,MD,21702,Frederick,Yes
-76.9023669996636,38.8878400002548,3,Small Grocery/Corner Store, ,Central Tobacco And Wireless,1 Yost Pl,Capitol Heights,MD,20743,Prince Georges,Yes
-76.7773589997093,39.4174229998875,4,Convenience Store,Pharmacy,CVS Pharmacy 10892,1-2-1 Reisertown Rd,Owings Mills,MD,21117,Baltimore,Yes
-75.7995529998405,39.6548769997359,5,Convenience Store,Discount,Family Dollar 12178,10 Chestnut Dr,Elkton,MD,21921,Cecil,Yes
-76.6123350001465,39.2896690002383,6,Small Grocery/Corner Store, ,Sams Lobby Shop,10 N Calvert St Ste 125,Baltimore,MD,21202,Baltimore City,Yes
-76.6339870000149,39.4643629999992,7,Convenience Store,Discount,DOLLAR TREE 1702,100 Cranbrook Rd,Cockeysville,MD,21030,Baltimore,Yes
-75.9477230002821,39.6107860002453,8,Convenience Store,Discount,Dollar Tree 2405,100 Northeast Rd,North East,MD,21901,Cecil,Yes
-76.9321210003009,38.6135859997408,9,Supermarket,Club,BJs Wholesale Club 72,1000 Saint Nicholas Dr,Waldorf,MD,20603,Charles,Yes
-76.5997090000635,39.28424499973,10,Supermarket, ,Whole Foods Market 10114,1001 Fleet St Ste A,Baltimore,MD,21202,Baltimore City,Yes
-76.6072159999073,39.3014180003032,11,Small Grocery/Corner Store, ,Happy Market,1001 Greenmount Ave,Baltimore,MD,21202,Baltimore City,Yes
-76.6022189998668,39.28915000014,12,Small Grocery/Corner Store, ,Jonestown Food Mart,1003 E Lombard St,Baltimore,MD,21202,Baltimore City,Yes
-77.4408419996195,39.4183729998353,13,Supermarket, ,Lidl 1488,1003 West Patrick St,Frederick,MD,21702,Frederick,Yes
-75.5919340003706,38.3757129996723,14,Convenience Store,Discount,Dollar General 16811,1005 N Salisbury Blvd,Salisbury,MD,21801,Wicomico,Yes
-75.5807269997716,38.3453870001372,15,Convenience Store,Discount,Family Dollar 11035,1005 Snow Hill Rd,Salisbury,MD,21804,Wicomico,Yes
-77.7312470003039,39.6252170001954,16,Convenience Store,Discount,Dollar Tree 7847,1007 Maryland Ave,Hagerstown,MD,21740,Washington,Yes
-77.7138900003191,39.6457250000647,17,Small Grocery/Corner Store, ,Melodys Corner Market And Deli,101 E North Ave,Hagerstown,MD,21740,Washington,Yes
-77.717842000071,39.6406250001144,18,Small Grocery/Corner Store, ,Penny Mart pm 03,101 E Washington St,Hagerstown,MD,21740,Washington,Yes
-76.0779190000727,38.7804299997649,19,Convenience Store,Discount,Family Dollar Store 3172,101 Marlboro Ave Ste 17,Easton,MD,21601,Talbot,Yes
-77.3420259996395,39.4858550002983,20,Convenience Store,Discount,Dollar General 21977,101 Sandstone Dr,Walkersville,MD,21793,Frederick,Yes
-76.4626240000221,39.3142319998237,21,Convenience Store,Chain,ROYAL FARMS 104,1010 Eastern Blvd,Essex,MD,21221,Baltimore,Yes
-76.3698500003711,39.4217989998259,22,Convenience Store,Discount,Dollar Tree 1683,1010 Joppa Farm Rd,Joppa,MD,21085,Harford,Yes
-76.106819000217,39.5459019997962,23,Convenience Store,Discount,Dollar General 2357,1010 Pulaski Hwy,Havre de Grace,MD,21078,Harford,Yes
-76.3275910000247,39.4325750001517,24,Small Grocery/Corner Store, ,Quick Stop / Tobacco One Convenience Plus,1011 Woodbridge Center Way Ste B,Edgewood,MD,21040,Harford,Yes
-76.9549409995831,39.0574649999219,25,Supermarket, ,Aldi 71181,1012 Cherry Hill Rd W,Silver Springs,MD,20904,Montgomery,Yes
-76.6376109997037,39.4669950000338,26,Convenience Store,Chain,Wawa 8506,10125 York Rd,Cockeysville,MD,21030,Baltimore,Yes
-75.2128519995522,38.3341789998343,27,Supermarket, ,Food Lion 658,10126 Old Ocean City Blvd,Berlin,MD,21811,Worcester,Yes
-75.6017300000849,38.3506319998113,28,Convenience Store,Discount,Dollar General 11709,1014 S Salisbury Blvd,Salisbury,MD,21801,Wicomico,Yes
-76.6865459998657,39.264584000206,29,Small Grocery/Corner Store, ,Asian Delight Food And Grocery,1015 Leeds Ave,Baltimore,MD,21229,Baltimore,Yes
-76.1072689995805,39.5458560000683,30,Convenience Store,Discount,Dollar Tree 4391,1017 Pulaski Hwy,Havre de Grace,MD,21078,Harford,Yes
-77.6286999996066,39.3132210001312,31,Small Grocery/Corner Store, ,Corner Store,102 W Potomac St,Brunswick,MD,21716,Frederick,Yes
-77.3866879996592,39.4549979997945,32,Small Grocery/Corner Store, ,The Corner Shoppe,1020 Mill Pond Rd Ste A,Frederick,MD,21701,Frederick,Yes
-76.6356580002923,39.3377489999928,33,Supermarket, ,Super Giant Store 2306,1020 West 41st St,Baltimore,MD,21211,Baltimore City,Yes
-76.9780650004355,39.0228499997554,34,Small Grocery/Corner Store, ,Global International Grocery,10216 New Hampshire Ave,Silver Spring,MD,20903,Montgomery,Yes
-76.7315600002379,39.2919849997946,35,Convenience Store,Gas Station,Ingleside Food Mart,1022 Ingleside Ave,Catonsville,MD,21228,Baltimore,Yes
-76.6612009998132,38.7171479996827,36,Convenience Store,Chain,WAWA 573,10245 Kirksville Lane,Dunkirk,MD,20754,Calvert,Yes
-76.1795429997818,39.5208470002731,37,Supermarket, ,Target Stores 1043,1025 Middleton Rd,Aberdeen,MD,21001,Harford,Yes
-76.7868730002895,39.4053500002103,38,Supermarket,Club,Costco 1326,10270 Mill Run Circle,Owings Mills,MD,21117,Baltimore,Yes
-75.8794860002216,38.9429739996511,39,Convenience Store,Discount,Dollar General 14465,103 E 6th St,Ridgely,MD,21660,Caroline,Yes
-76.8600999998196,39.2157779997329,40,Supermarket, ,Lidl 1450,10300 Little Patuxent Pkwy Suite 1530,Columbia,MD,21044,Howard,Yes
-78.7814029996436,39.6647910001384,41,Small Grocery/Corner Store, ,FRUIT BOWL MARKET,10325 National Hwy NW,Cumberland,MD,21502,Allegany,Yes
-78.7865829999822,39.6821750001104,42,Convenience Store,Discount,Dollar General 14647,10386 Mt Savage Rd NW,Cumberland,MD,21502,Allegany,Yes
-76.9839779999948,38.5484240002338,43,Convenience Store,Discount,Family Dollar Store 2986,104 Drury Dr,La Plata,MD,20646,Charles,Yes
-76.9172439999822,39.0264970001622,44,Small Grocery/Corner Store, ,Kashmir Bazaar,10400 Rhode Island Ave Suite A,Beltsville,MD,20705,Prince Georges,Yes
-76.8253780003525,38.9557950001319,45,Supermarket, ,TARGET STORES 2007,10401 Martin Luther King Jr Hwy,Bowie,MD,20720,Prince Georges,Yes
-75.2130359996752,38.3179700000453,46,Convenience Store,Discount,Dollar General 489,105 Decatur St,Berlin,MD,21811,Worcester,Yes
-78.7518539999441,39.6305349996654,47,Convenience Store,Discount,Dollar General 11872,1050 W Industrial Blvd,Cumberland,MD,21502,Allegany,Yes
-76.8228910001153,38.8960299997989,48,Supermarket, ,Target 1006,10500 Campus Way S,Largo,MD,20774,Prince Georges,Yes
-77.7319789996996,39.6240500002523,49,Convenience Store,Discount,Family Dollar Store 669,1051 Maryland Ave,Hagerstown,MD,21740,Washington,Yes
-77.0780789999666,39.0284839997329,50,Small Grocery/Corner Store, ,Grocerylanka,10518 Detrick Ave,Kensington,MD,20895,Montgomery,Yes
-76.6962660003103,39.2620159998827,51,Convenience Store,Discount,Dollar Tree 5030,1052 Maiden Choice Ln,Baltimore,MD,21229,Baltimore,Yes
-76.8214869998016,38.9894710002079,52,Convenience Store,Discount,P & C Dollar Plus Store,10579 Greenbelt Rd,Lanham,MD,20706,Prince Georges,Yes
-76.4837269998945,39.30460700022,53,Small Grocery/Corner Store, ,FRUITLAND PRODUCE,106 Eastern Blvd,Essex,MD,21221,Baltimore,Yes
-76.0644450002429,39.211166000032,54,Convenience Store,Discount,Dollar General 0490,106 Philosophers Ter,Chestertown,MD,21620,Kent,Yes
-76.4839250002612,39.2629739997208,55,Small Grocery/Corner Store, ,Quick Mart,106 Wise Ave,Dundalk,MD,21222,Baltimore,Yes
-76.6560210003729,38.7231370002339,56,Supermarket, ,Walmart 5345,10600 Town Center Blvd,Dunkirk,MD,20754,Calvert,Yes
-78.9117740002346,39.6505239999588,57,Convenience Store,Discount,Dollar General 951,10601 New Georges Creek R,Frostburg,MD,21532,Allegany,Yes
-76.8443759995791,38.9468190002609,58,Convenience Store,Chain,Wawa Store 8523,10620 Martin Luther King Jr Hwy,Lanham,MD,20720,Prince Georges,Yes
-76.8228380004119,38.8979569998191,59,Small Grocery/Corner Store, ,Pac-N-Post Plus Intl Foods,10640 Campus Way S,Upper Marlboro,MD,20774,Prince Georges,Yes
-75.5491260000282,38.0627900003187,60,Convenience Store,Discount,Family Dollar Store 2342,107 Pocomoke Marketplace,Pocomoke City,MD,21851,Worcester,Yes
-78.9090729997372,39.6476779999321,61,Convenience Store,Discount,DollarTree 7743,10701 New Georges Creek Rd SW Ste 12,Frostburg,MD,21532,Allegany,Yes
-77.1326980002573,39.071452999862,62,Small Grocery/Corner Store, ,Kielbasa Factory,1073 Rockville Pike,Rockville,MD,20852,Montgomery,Yes
-76.0788189996979,38.7797320000495,63,Convenience Store,Discount,Dollar General 22918,108 Marlboro Ave,Easton,MD,21601,Talbot,Yes
-77.4454350003273,39.417380999905,64,Convenience Store,Discount,DOLLAR TREE 3991,1080 W Patrick St Ste 3C,Frederick,MD,21703,Frederick,Yes
-76.0924070002288,39.275447999703,65,Convenience Store,Discount,Dollar General 17202,10838 Worton Rd,Worton,MD,21678,Kent,Yes
-75.7129970002457,38.5399670001874,66,Convenience Store,Discount,Dollar General 18578,109 State St,Sharptown,MD,21861,Wicomico,Yes
-76.9100190001707,39.0329780001058,67,Supermarket,Club,Costco Wholesale 0214,10925 Baltimore Ave,Beltsville,MD,20705,Prince Georges,Yes
-76.8060990000201,39.4230540002728,68,Small Grocery/Corner Store, ,Kaneshie Market,10999 Red Run Blvd Ste 107,Owings Mills,MD,21117,Baltimore,Yes
-75.8848649998535,38.9489059999662,69,Small Grocery/Corner Store, ,TRI ME LLC,11 N Central Ave,Ridgely,MD,21660,Caroline,Yes
-76.1649249999293,39.507441999712,70,Small Grocery/Corner Store, ,Aberdeen Lucky Mart,110 S Philadelphia Blvd,Aberdeen,MD,21001,Harford,Yes
-76.6362919997788,39.2813260000914,71,Small Grocery/Corner Store, ,CHARLIES GROCERY,1100 S Carey St,Baltimore,MD,21223,Baltimore City,Yes
-76.6326899998312,39.2827950000222,72,Small Grocery/Corner Store, ,Birdland Mart,1100 Washington Blvd,Baltimore,MD,21230,Baltimore City,Yes
-76.4564439996008,39.3363339997917,73,Convenience Store,Discount,Dollar General 6692,111 Beacon Rd,Middle River,MD,21220,Baltimore,Yes
-76.7303619997885,39.2935180003264,74,Small Grocery/Corner Store, ,Kiani's Mart,1110 Ingleside Ave,Gwynn Oak,MD,21207,Baltimore,Yes
-77.7337040004038,39.6222420001411,75,Convenience Store,Discount,Dollar General 12763,1111 Maryland Ave,Hagerstown,MD,21740,Washington,Yes
-76.6468049997185,39.4914819999383,76,Small Grocery/Corner Store, ,PA Dutch Market Cockeysville,11121 York Rd,Cockeysville,MD,21030,Baltimore,Yes
-77.0537189999283,39.0389289998589,77,Supermarket, ,Target Stores 1415,11160 Veirs Mill Rd,Wheaton,MD,20902,Montgomery,Yes
-76.6916199998991,39.0241129998345,78,Small Grocery/Corner Store, ,Makkah Halal Meat Inc,1117 MD RT 3 N Ste 104,Gambrills,MD,21054,Anne Arundel,Yes
-76.3996509999657,39.3377879999257,79,Supermarket, ,Walmart 3481,112 Carroll Island Rd,Middle River,MD,21220,Baltimore,Yes
-76.798049999853,39.4340360003007,80,Supermarket, ,Target Stores 1045,11200 Reisterstown Rd,Owings Mills,MD,21117,Baltimore,Yes
-75.6172180003237,38.3665159999788,81,Small Grocery/Corner Store, ,Sophies Super Market Inc,1122 Parsons Rd C,Salisbury,MD,21801,Wicomico,Yes
