OBJECTID,CSA2010,pasi10,pasi15,pasi16,pasi17,pasi18,pasi19,pasi20,Shape__Area,Shape__Length
1,Allendale/Irvington/S. Hilton,0.456311278288216,0.422885572139304,0.242350802787034,0.1135956,0.0850443445510873,0.3702048893,1.045319665,63770461.7796021,38770.1655712393
2,Beechfield/Ten Hills/West Hills,0.839856490541422,0.838825644098262,0.43198073790808,0.418191323,0.512114958342887,0.5134987941,1.489696267,47882527.7110596,37524.9505334171
3,Belair-Edison,0.528249885163068,0.547692307692308,0.536928767450185,0.569620253,0.234022399286788,0.2585761076,0.464037123,44950030.4716797,31307.3148434597
4,Brooklyn/Curtis Bay/Hawkins Point,1.73418521378923,1.37426500752085,1.17808615206707,2.527131783,2.55752425238515,2.736842105,1.624749611,176077742.748718,150987.703638772
5,Canton,3.35802469135802,3.79016064257028,3.99657785382547,4.383857795,5.69941766819477,5.697660322,4.575798034,15408538.2247314,23338.6119476477
6,Cedonia/Frankford,2.25835208218364,4.74241593181722,4.27825936947427,3.549592391,2.20628101931017,2.786945361,1.184591405,71541340.3063965,39962.5498347165
7,Cherry Hill,0.243842965130456,1.00690785622292,1.03934669636229,0.929598413,0.70364723818459,0.4657119572,0.627001067,29144181.3516235,22305.3020666822
8,Chinquapin Park/Belvedere,1.71480144404332,0.889316187958178,2.41505860068663,1.822485207,1.79313620710129,1.971075344,2.077850118,21022590.1307373,21705.411630344
9,Claremont/Armistead,0.522415259385251,0.984157465194431,0.516970105641717,0.193153772,0.86992977675296,1.059238917,1.070167696,61243774.4211426,40104.415980189
10,Clifton-Berea,0.263317804334616,0.0713181980268632,0.683604876381452,0.41799582,0.402652771198484,0.352858151,0.158374027,23285233.9251099,24022.7646207842
11,Cross-Country/Cheswolde,3.66733159429185,6.37842465753425,5.44332623227797,3.372524752,4.07752515840477,3.266573054,1.801256338,38222018.3164673,26788.3018783838
12,Dickeyville/Franklintown,0.463301633747866,1.82975338106603,1.93657030592198,1.661752881,0.987269420628734,0.7924335378,1.334422658,35719112.4142456,31637.8174237991
13,Dorchester/Ashburton,0.263023926692686,0.314652606514159,0.326196052191368,0.171203561,0.410803251464032,0.4495667811,0.565079973,34118277.1812134,27136.0757115219
14,Downtown/Seton Hill,15.9478746509463,12.0243531202435,14.4989677624266,16.25593143,15.1606859778066,13.40935902,15.11430991,20736554.4064941,21565.859394559
15,Edmondson Village,0.0759493670886076,0,0,0,0,0,0.084590441,23563061.0443115,21504.551357829
16,Fells Point,4.55802633034628,4.61506188378435,4.88283378746594,5.469937052,6.50994575045208,6.002454535,7.407407407,12620515.7171631,27670.1699158053
17,Forest Park/Walbrook,0.142146410803127,0.0549329817622501,0.0618429189857761,0.059078377,0.0634920634920634,0.1129092962,0.488011882,37200535.0296631,36886.8997811279
18,Glen-Fallstaff,1.40136784229583,2.05804139206845,2.07012085676678,1.577227598,2.17624424399167,0.9267660402,1.262330137,46995477.4781494,48549.0046179293
19,Greater Charles Village/Barclay,13.3304862424501,13.8620439719739,13.2364517105662,12.07897793,11.8425739047845,11.06818739,15.95845137,27051213.4559937,26454.2692113332
20,Greater Govans,0.496208220204101,0.157963203865453,0.15293442936341,0.093240093,0.29580329081161,0.4561436853,0.302303763,22698495.7178955,22982.125714974
21,Greater Mondawmin,0.193091611242223,0.269280482550625,0.23121387283237,0.407085488,0.393184796854521,0.3318951211,3.426719148,33663448.2791138,31136.7318903515
22,Greater Roland Park/Poplar Hill,9.82784329673309,6.95538057742782,7.76598498576236,8.996721311,7.09979906229069,8.616934386,8.252093917,56688145.1790161,39862.7497953118
23,Greater Rosemont,0.181733215639441,0.204721386987397,0.186499819516304,0.155637537,0.257201646090535,0.1450326323,0.152327969,42204384.5406494,32559.0762211491
24,Greenmount East,0.232160312805474,0,0.0758533501896334,0.25467974,0.462718138551031,0.5343307507,0.287562904,19072287.8240967,20797.4734578598
25,Hamilton,1.21519766189817,1.10476755394083,0.877453896490184,1.550555315,1.17063051048381,0.8673429877,1.000726334,45191100.5593872,27712.1110915054
26,Harbor East/Little Italy,4.58664693915295,4.82502651113468,4.54946217598307,5.332629356,4.91738005176189,3.434213351,7.837676547,10215859.0836182,18552.4075815937
27,Harford/Echodale,0.967990973335709,0.642530581984431,0.595388902964277,0.601065807,0.946665016705853,0.994195381,1.161094225,65360039.1698608,40019.1854001996
